| neighbourhood_group | month | district_booking_ranking | overall_month_ranking |
|---|---|---|---|
| Treptow - Köpenick | July | 1 | 3 |
| Treptow - Köpenick | October | 2 | 1 |
| Treptow - Köpenick | August | 3 | 4 |
| Treptow - Köpenick | September | 4 | 2 |
| Treptow - Köpenick | May | 5 | 5 |
| Treptow - Köpenick | June | 6 | 6 |
| Treptow - Köpenick | April | 7 | 7 |
| Treptow - Köpenick | March | 8 | 10 |
| Treptow - Köpenick | January | 9 | 11 |
| Treptow - Köpenick | December | 10 | 9 |
| Treptow - Köpenick | November | 11 | 8 |
| Treptow - Köpenick | February | 12 | 12 |
