id	descriptive_name	neighbourhood	price	days	total_price
1477047577783123029	best place for ghost	Alexanderplatz	8150	3	24450
29022451	Gorki Penthouse 2	Brunnenstr. Süd	1371	3	4113
28432988	Cozy private room in the heart of Berlin-Mitte	Brunnenstr. Süd	943	3	2829
1019770974237854955	Wohnung für 1 Monat	Parkviertel	600	3	1800
902612850834088593	Penthouse + 2 balconies & terrace	Brunnenstr. Nord	538	3	1614
1407223490428433001	NIDO by PATIO	Moabit Ost	511	3	1533
28772056	Kategorki 1 with Balcony	Brunnenstr. Süd	487	3	1461
1228268366150663636	Stadtflucht Homes Loft 4.1.1	Brunnenstr. Nord	451	3	1353
1211586128244299839	4 Rooms nearby Potsdamer Platz	Regierungsviertel	441	3	1323
1418801585846679224	Apartment with 2 bedrooms at Potsdamer Platz	Tiergarten Süd	436	3	1308
45904829	Numa | 1-Bedroom Apartment w/ Sofabed & Terrace	Alexanderplatz	433	3	1299
1441309893835629592	Generator Mitte - Junior Suite – City View	Alexanderplatz	430	3	1290
50998500	134m² Three-Bedroom Apartment w/ Balcony in Mitte	Brunnenstr. Süd	419	3	1257
569171754152794253	Family room 6 people | Citylight Hotel Berlin	Brunnenstr. Nord	413	3	1239
1081260507674313316	Skyline Ausblick Tv Tower	Wedding Zentrum	405	3	1215
29022213	Kategorki 2C	Alexanderplatz	396	3	1188
29021563	Kategorki 2A	Brunnenstr. Süd	396	3	1188
29509865	3 Bedroom Apartment	Brunnenstr. Süd	360	3	1080
1303559224840924887	Grand Central Mitte Apt. Museumsinsel/Berliner Dom	Regierungsviertel	348	3	1044
662252642803259249	BIG CENTRAL BERLIN CITY MITTE 4RMS FLAT 1ALocation	Brunnenstr. Süd	343	3	1029
569170313259172077	Quadruple room | Citylight Hotel Berlin	Brunnenstr. Nord	338	3	1014
29022547	Kategorki 3 Studio apartment	Brunnenstr. Süd	328	3	984
854259609751966037	Bestlage am Brandenburger Tor Apartment 4	Regierungsviertel	323	3	969
1167288311968188692	time4staying 160sqm 5 BR Banksy apartment at Hbf	Moabit Ost	318	3	954
54035917	BIG CENTRAL CITY 4RMS FLAT MITTE ROSENTHALER PLATZ	Brunnenstr. Süd	313	3	939
43824448	Apartment with balcony	Regierungsviertel	313	3	939
