| id | neighbourhood | neighbourhood_group | latitude | longitude | price |
|---|---|---|---|---|---|
| 3176 | Prenzlauer Berg Südwest | Pankow | 52.53471 | 13.4181 | 105 |
| 9991 | Prenzlauer Berg Südwest | Pankow | 52.53269 | 13.41805 | 135 |
| 14325 | Prenzlauer Berg Nordwest | Pankow | 52.54813 | 13.40366 | 75 |
| 17904 | Reuterstraße | Neukölln | 52.49419 | 13.42166 | 32 |
| 20858 | Prenzlauer Berg Südwest | Pankow | 52.53711 | 13.40888 | 202 |
| 22677 | Brunnenstr. Süd | Mitte | 52.53355 | 13.40476 | 152 |
| 23834 | Tempelhofer Vorstadt | Friedrichshain-Kreuzberg | 52.49134 | 13.37975 | 65 |
| 26543 | Helmholtzplatz | Pankow | 52.54419 | 13.41956 | 260 |
| 28156 | Prenzlauer Berg Nordwest | Pankow | 52.54804 | 13.40349 | 70 |
| 30295 | Helmholtzplatz | Pankow | 52.54596 | 13.42291 | 172 |
| 34854 | Düsseldorfer Straße | Charlottenburg-Wilm. | 52.49546 | 13.30858 | 60 |
| 37004 | Schöneberg-Nord | Tempelhof - Schöneberg | 52.49376 | 13.36408 | 60 |
| 42487 | südliche Luisenstadt | Friedrichshain-Kreuzberg | 52.49661 | 13.44038 | 54 |
| 42809 | Frankfurter Allee Süd FK | Friedrichshain-Kreuzberg | 52.51099 | 13.45642 | 200 |
| 55853 | Neue Kantstraße | Charlottenburg-Wilm. | 52.50469 | 13.29409 | 54 |
| 57049 | Prenzlauer Berg Nordwest | Pankow | 52.54758 | 13.40632 | 290 |
| 58780 | Prenzlauer Berg Süd | Pankow | 52.53572 | 13.42739 | 240 |
| 64014 | Brunnenstr. Nord | Mitte | 52.54059 | 13.40301 | 282 |
| 64590 | Reuterstraße | Neukölln | 52.49337 | 13.42555 | 144 |
| 68448 | Prenzlauer Berg Nord | Pankow | 52.55004 | 13.41518 | 137 |
| 69780 | Prenzlauer Berg Nordwest | Pankow | 52.5488 | 13.40425 | 106 |
| 80843 | Schmargendorf | Charlottenburg-Wilm. | 52.48074 | 13.28903 | 99 |
| 81081 | Prenzlauer Berg Nord | Pankow | 52.55064 | 13.41466 | 68 |
| 83614 | Helmholtzplatz | Pankow | 52.54720260822955 | 13.416090488433827 | 293 |
| 85560 | Alexanderplatz | Mitte | 52.53036 | 13.38137 | 94 |
| 86090 | Prenzlauer Berg Nord | Pankow | 52.54715 | 13.42657 | 175 |
| 89102 | Prenzlauer Berg Südwest | Pankow | 52.54048 | 13.41087 | 131 |
| 115576 | Blankenfelde/Niederschönhausen | Pankow | 52.58178 | 13.3962 | 95 |
| 117649 | südliche Luisenstadt | Friedrichshain-Kreuzberg | 52.49989 | 13.4448 | 58 |
| 127708 | Alexanderplatz | Mitte | 52.52536 | 13.40488 | 113 |
| 128827 | Frankfurter Allee Süd FK | Friedrichshain-Kreuzberg | 52.50894 | 13.46075 | 136 |
| 135097 | Schöneberg-Nord | Tempelhof - Schöneberg | 52.49944 | 13.34685 | 165 |
| 147339 | Schöneberg-Süd | Tempelhof - Schöneberg | 52.48033 | 13.3609 | 100 |
| 151249 | Südliche Friedrichstadt | Friedrichshain-Kreuzberg | 52.49681 | 13.41758 | 75 |
| 159454 | Wiesbadener Straße | Charlottenburg-Wilm. | 52.47844 | 13.30973 | 185 |
| 168615 | Blankenburg/Heinersdorf/Märchenland | Pankow | 52.58045 | 13.44398 | 49 |
| 173153 | Alexanderplatz | Mitte | 52.52889 | 13.40726 | 80 |
| 176342 | Südliche Friedrichstadt | Friedrichshain-Kreuzberg | 52.50254 | 13.39134 | 340 |
| 179102 | Pankow Zentrum | Pankow | 52.57051 | 13.39872 | 237 |
| 180440 | Neue Kantstraße | Charlottenburg-Wilm. | 52.499 | 13.30171 | 65 |
| 186851 | Schöneberg-Nord | Tempelhof - Schöneberg | 52.49281 | 13.34951 | 45 |
