| neighbourhood | neighbourhood_group | average_price |
|---|---|---|
| West 5 | Reinickendorf | 382 |
| Schmöckwitz/Karolinenhof/Rauchfangswerder | Treptow - Köpenick | 314 |
| Haselhorst | Spandau | 216 |
| Alt-Hohenschönhausen Nord | Lichtenberg | 212 |
| Brunnenstr. Nord | Mitte | 190 |
| Rahnsdorf/Hessenwinkel | Treptow - Köpenick | 188 |
| Regierungsviertel | Mitte | 186 |
| Brunnenstr. Süd | Mitte | 181 |
| Prenzlauer Berg Südwest | Pankow | 176 |
| Schmargendorf | Charlottenburg-Wilm. | 171 |
| Alexanderplatz | Mitte | 169 |
| Charlottenburg Nord | Charlottenburg-Wilm. | 167 |
| Neue Kantstraße | Charlottenburg-Wilm. | 159 |
| Spandau Mitte | Spandau | 153 |
| Tiergarten Süd | Mitte | 152 |
| Kurfürstendamm | Charlottenburg-Wilm. | 150 |
| Südliche Friedrichstadt | Friedrichshain-Kreuzberg | 145 |
| Tempelhof | Tempelhof - Schöneberg | 145 |
| Kölln. Vorstadt/Spindlersf. | Treptow - Köpenick | 145 |
| Wiesbadener Straße | Charlottenburg-Wilm. | 144 |
| Schöneberg-Süd | Tempelhof - Schöneberg | 140 |
| Prenzlauer Berg Süd | Pankow | 138 |
| Rummelsburger Bucht | Lichtenberg | 138 |
| Marzahn-Süd | Marzahn - Hellersdorf | 138 |
| Helmholtzplatz | Pankow | 137 |
| Prenzlauer Berg Ost | Pankow | 137 |
| Pankow Zentrum | Pankow | 136 |
| Frankfurter Allee Süd FK | Friedrichshain-Kreuzberg | 135 |
| Albrechtstr. | Steglitz - Zehlendorf | 135 |
| Friedrichshagen | Treptow - Köpenick | 134 |
| Neuköllner Mitte/Zentrum | Neukölln | 133 |
| Düsseldorfer Straße | Charlottenburg-Wilm. | 132 |
| Westend | Charlottenburg-Wilm. | 131 |
| Kantstraße | Charlottenburg-Wilm. | 131 |
| Müggelheim | Treptow - Köpenick | 131 |
| Karlshorst | Lichtenberg | 130 |
| Ost 1 | Reinickendorf | 130 |
| Wilhelmstadt | Spandau | 130 |
| Frankfurter Allee Nord | Friedrichshain-Kreuzberg | 128 |
| Prenzlauer Berg Nord | Pankow | 127 |
| südliche Luisenstadt | Friedrichshain-Kreuzberg | 126 |
| Forst Grunewald | Charlottenburg-Wilm. | 126 |
| Niederschöneweide | Treptow - Köpenick | 126 |
| Dammvorstadt | Treptow - Köpenick | 126 |
| Tempelhofer Vorstadt | Friedrichshain-Kreuzberg | 124 |
| Friedrichsfelde Nord | Lichtenberg | 124 |
| Weißensee | Pankow | 123 |
| Altstadt-Kietz | Treptow - Köpenick | 122 |
| Alt-Lichtenberg | Lichtenberg | 122 |
| MV 1 | Reinickendorf | 122 |
| Prenzlauer Berg Nordwest | Pankow | 121 |
| Otto-Suhr-Allee | Charlottenburg-Wilm. | 121 |
| nördliche Luisenstadt | Friedrichshain-Kreuzberg | 121 |
| Mariendorf | Tempelhof - Schöneberg | 121 |
| Moabit West | Mitte | 119 |
| Friedenau | Tempelhof - Schöneberg | 119 |
| Zehlendorf  Nord | Steglitz - Zehlendorf | 119 |
| Grunewald | Charlottenburg-Wilm. | 119 |
| Alt-Hohenschönhausen Süd | Lichtenberg | 119 |
| Halensee | Charlottenburg-Wilm. | 118 |
| Heerstrasse | Charlottenburg-Wilm. | 118 |
| Mierendorffplatz | Charlottenburg-Wilm. | 117 |
| Wedding Zentrum | Mitte | 117 |
| Zehlendorf  Südwest | Steglitz - Zehlendorf | 117 |
| Britz | Neukölln | 116 |
| Barstraße | Charlottenburg-Wilm. | 116 |
| Karl-Marx-Allee-Nord | Friedrichshain-Kreuzberg | 116 |
| Schloß Charlottenburg | Charlottenburg-Wilm. | 116 |
| Schillerpromenade | Neukölln | 115 |
| Malchow, Wartenberg und Falkenberg | Lichtenberg | 115 |
| Karl-Marx-Allee-Süd | Friedrichshain-Kreuzberg | 114 |
| Alt  Treptow | Treptow - Köpenick | 114 |
| Schönholz/Wilhelmsruh/Rosenthal | Pankow | 114 |
| Schöneberg-Nord | Tempelhof - Schöneberg | 113 |
| Moabit Ost | Mitte | 113 |
| Plänterwald | Treptow - Köpenick | 113 |
| Pankow Süd | Pankow | 112 |
| Neu Lichtenberg | Lichtenberg | 112 |
| Reuterstraße | Neukölln | 110 |
| Weißensee Ost | Pankow | 110 |
| Hakenfelde | Spandau | 109 |
| Volkspark Wilmersdorf | Charlottenburg-Wilm. | 107 |
| Drakestr. | Steglitz - Zehlendorf | 106 |
| Blankenfelde/Niederschönhausen | Pankow | 105 |
| Johannisthal | Treptow - Köpenick | 104 |
| West 1 | Reinickendorf | 104 |
| Mahlsdorf | Marzahn - Hellersdorf | 102 |
| Osloer Straße | Mitte | 102 |
| Rixdorf | Neukölln | 101 |
| Schloßstr. | Steglitz - Zehlendorf | 101 |
| Buchholz | Pankow | 101 |
| Grünau | Treptow - Köpenick | 101 |
| Heerstraße Nord | Spandau | 101 |
| Oberschöneweide | Treptow - Köpenick | 100 |
| Adlershof | Treptow - Köpenick | 100 |
| Nord 1 | Reinickendorf | 98 |
| Brunsbütteler Damm | Spandau | 98 |
| Baumschulenweg | Treptow - Köpenick | 96 |
| Buckow | Neukölln | 96 |
| Teltower Damm | Steglitz - Zehlendorf | 95 |
| Biesdorf | Marzahn - Hellersdorf | 95 |
| West 2 | Reinickendorf | 95 |
| Gatow / Kladow | Spandau | 95 |
| Nord 2 | Reinickendorf | 93 |
| Köllnische Heide | Neukölln | 92 |
| Karow | Pankow | 92 |
| Parkviertel | Mitte | 91 |
| Bohnsdorf | Treptow - Köpenick | 90 |
| Marienfelde | Tempelhof - Schöneberg | 89 |
| Kaulsdorf | Marzahn - Hellersdorf | 89 |
| Lichtenrade | Tempelhof - Schöneberg | 87 |
| Rudow | Neukölln | 83 |
| MV 2 | Reinickendorf | 82 |
| Köpenick-Nord | Treptow - Köpenick | 81 |
| Siemensstadt | Spandau | 81 |
| Altglienicke | Treptow - Köpenick | 80 |
| Blankenburg/Heinersdorf/Märchenland | Pankow | 79 |
| Lankwitz | Steglitz - Zehlendorf | 78 |
| Buch | Pankow | 76 |
| Hellersdorf-Nord | Marzahn - Hellersdorf | 75 |
| West 4 | Reinickendorf | 73 |
| Gropiusstadt | Neukölln | 72 |
| Falkenhagener Feld | Spandau | 72 |
| Ostpreußendamm | Steglitz - Zehlendorf | 72 |
| West 3 | Reinickendorf | 71 |
| Buckow Nord | Neukölln | 69 |
| Köpenick-Süd | Treptow - Köpenick | 65 |
| Frankfurter Allee Süd | Lichtenberg | 63 |
| Fennpfuhl | Lichtenberg | 60 |
| Friedrichsfelde Süd | Lichtenberg | 59 |
| Ost 2 | Reinickendorf | 58 |
| Marzahn-Mitte | Marzahn - Hellersdorf | 51 |
| Neu-Hohenschönhausen Süd | Lichtenberg | 45 |
| Marzahn-Nord | Marzahn - Hellersdorf | 45 |
| Allende-Viertel | Treptow - Köpenick | 39 |
| Hellersdorf-Süd | Marzahn - Hellersdorf | 33 |
| Neu-Hohenschönhausen Nord | Lichtenberg | 32 |
| Hellersdorf-Ost | Marzahn - Hellersdorf | 30 |
