| id | descriptive_name | price |
|---|---|---|
| 1237568 | Concrete sky cabin Hackescher Markt | 79 |
| 1541488 | Beautiful apartment @ Alexanderplatz • City-Center | 92 |
| 1565012 | bed in a 6-Bedroom mixed, Ensuite No. 1 | 37 |
| 1565047 | King-Size Capsule shared with additional capsules | 76 |
| 2201228 | Cosy Flat around Rosenthaler Platz | 79 |
| 4065383 | Möbliertes 55qm Zimmer in netter 2er Zweck-WG | 28 |
| 6098609 | bed in a 4-Bedroom mixed, Ensuite  No. 2 | 43 |
| 6110762 | bed in a 6-Bed mixed dorm ,Shared Bathroom 4 | 31 |
| 6111076 | bed in a 6-Bed mixed dorm ,Shared Bathroom 1 | 31 |
| 6550264 | Cozy & authentic: private room near Alexanderplatz | 69 |
| 7574664 | Central but super quiet room! | 58 |
| 9536240 | bed in a 6-Bed mixed dorm ,Shared Bathroom 5 | 48 |
| 9861129 | Girls only cosy room in the heart of Berlin | 32 |
| 11286561 | bed in a 6-Bedroom mixed, Ensuite  No. 4 | 38 |
| 11403270 | In the middle of Berlin, just 3 mins to Alex! | 55 |
| 14666005 | Cozy room at the center of Berlin | 75 |
| 19329675 | Cosy bedroom w. balcony & private bathroom \| Mitte | 77 |
| 19592209 | Room by Hackescher Markt & Alexanderplatz | 74 |
| 21808006 | Toplage\nStudio @ „Kunsthaus Mitte“\n(f. 1-2 Pers.+) | 69 |
| 22200415 | FLEURIE mit großem Balkon im ruhigen Hof / Zentrum | 69 |
| 22897795 | Beeindruckender Ausblick am Fernsehturm! | 52 |
| 22982188 | 3min. vom Alex mit atemberaubendem Ausblick ! ✨ | 92 |
| 25424828 | Charming design flat in central- Mitte | 63 |
| 25438611 | bed in a 6-Bedroom mixed, Ensuite   No. 5 | 34 |
| 27443291 | Sunny Penthouse in Berlin Mitte | 80 |
| 28474188 | The Perfect Studio Apartment on Hackescher Markt | 44 |
| 32813793 | Beautiful Flat in central & prime location | 80 |
| 33573236 | Experience Berlin. Shared-Flat: Historic & modern! | 90 |
| 34002394 | Cosy and Smart Apartment on Alexanderplatz | 88 |
| 35691026 | Blue Streak: A Quiet Studio in Hakescher Markt | 49 |
| 35816059 | Bed in 6 Bed Dorm Ensuite | 40 |
| 35924160 | Spacious Quiet & Sunny Room in Mitte | 68 |
| 36340336 | Generator Mitte - Bed in 8 Bed Dorm Ensuite | 36 |
| 42145882 | sweet apartment central Berlin | 80 |
| 43208746 | Modern Apartment in the heart of Berlin | 72 |
| 43620460 | Enjoy  Central Mitte for couples and families | 70 |
| 43719623 | Mari | 65 |
| 43979441 | Modern studio at Rosenthaler Platz | 55 |
| 44208400 | Enjoy Central Mitte for couples and families | 80 |
| 47089226 | Cosy bright quiet studio @Mitte @Kreuzberg | 45 |
| 53010527 | Schöne Zeit im Scheunenviertel von Berlin-Mitte! | 60 |
| 53407725 | Cosy all-in-one apartment in Berlin-Mitte | 92 |
| 582165127448905018 | Luxury apartment in the heart of Berlin | 85 |
| 659394268096465050 | Lovely 1-bedroom serviced apartment with parking | 75 |
| 718000104767239332 | Alexanderplatz 6 minutes walk - Private Room | 76 |
| 733058380717119422 | Calm and quiet Studio in Mitte | 79 |
| 736567014660030457 | Modern City flat Alexanderplatz | 54 |
| 786310333020320107 | 2-room apartment with balcony in Berlin-Kreuzberg | 70 |
| 825138310480462562 | Green Street Berlin | 68 |
| 919434551140995233 | 1-bedroom Apartment in Mitte ! | 43 |
| 978698834444168839 | Berlin Hochwertiges 1-Zimmer-Apartment | 73 |
| 1005663259332160339 | Moderner Loft im Herzen Berlins | 60 |
| 1015867096565024941 | 1-bed apartment in Mitte | 42 |
| 1030197518380231327 | 1bed apartment+blacony at Mitte | 43 |
| 1043960168726363335 | 1-bed with balcony at Mitte | 51 |
| 1050596513338100729 | Ruhiges Schlafzimmer am Alexanderplatz | 65 |
| 1061428101930450005 | Loft feeling Apartment | 68 |
| 1065337889165175404 | Studio Apartments Berlin Mitte | 51 |
| 1081373049142109426 | Mitte: modern room/en suite bath | 90 |
| 1101392998155272909 | Furnished Apt in Alexanderplaz | 62 |
| 1127946208576008671 | Bed in 8-Bed Dorm | 36 |
| 1128110158947854731 | Bed in 6 Bed Female Dorm | 40 |
| 1136119926326624275 | 1-bed at Mitte/Kreuzberg | 51 |
| 1142559240989280120 | Studio apartment Berlin mitte | 63 |
| 1183900265782878594 | City Apartment with Garden | 80 |
| 1202322629893601538 | Im Herzen Berlins | 58 |
| 1202682516744409099 | 1-bed at Mitte&Friedrichshain | 45 |
| 1203681054485246663 | Super central & quiet apartment | 85 |
| 1218492971385293335 | Cozy central flat | 46 |
| 1233478377195759956 | Beautiful apartment Berlin Mitte | 85 |
| 1267163472810172750 | 1 Bedroom+Balcony Mitte | 45 |
| 1287471671113501847 | 1-bed at Mitte / Friedrichshain | 43 |
| 1311049833123090982 | Exclusive Apartment | 90 |
| 1342787439270785723 | Spacious private room in Mitte | 59 |
| 1344851062340666390 | Room close to KitKat Club mit Blick auf TV Tower | 68 |
| 1368692603368264492 | Stacey Coliving | Berlin-Mitte | 69 |
| 1389800264307538720 | Bett im 6er , Gemeinschaftsbad 3 | 39 |
| 1415025972886322074 | Bett im 4er mit DU/ WC 3 | 40 |
| 1423753885385000899 | Sunny artist designer attic | 88 |
| 1426609329108129539 | Bett im 6er , Gemeinschaftsbad 6 | 38 |
| 1440487175664659781 | Generator Mitte Bed in 6 Bed Room - Ensuite | 38 |
| 1440499182534456352 | Generator Mitte Bed in 6 Bed Female Dorm - Ensuite | 40 |
